lng,lat
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.865836,42.3361134
-7.8568456,42.3456161
-7.7868968,42.3663127
-7.8145602,42.3595912
-7.8145602,42.3595912
-7.8233098,42.3496966
-7.864299,42.3417115
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.864299,42.3417115
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.801008,42.359821
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.801008,42.359821
-7.8145602,42.3595912
-7.865836,42.3361134
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.801008,42.359821
-7.8145602,42.3595912
-7.822306,42.3507101
-7.8233098,42.3496966
-7.8568456,42.3456161
-7.865836,42.3361134
-7.8568456,42.3456161
-7.8145602,42.3595912
-7.8233098,42.3496966
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.7868968,42.3663127
-7.801008,42.359821
-7.8145602,42.3595912
-7.865836,42.3361134
-7.864299,42.3417115
-7.8568456,42.3456161
-7.8145602,42.3595912
-7.864299,42.3417115
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.865836,42.3361134
-7.7720649,42.3747549
-7.781176,42.373792
-7.7868968,42.3663127
-7.801008,42.359821
-7.864299,42.3417115
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.865836,42.3361134
-7.865836,42.3361134
-7.865836,42.3361134
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.790312,42.361686
-7.8233098,42.3496966
-7.865836,42.3361134
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.781176,42.373792
-7.8145602,42.3595912
-7.865836,42.3361134
-7.865836,42.3361134
-7.864299,42.3417115
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.790312,42.361686
-7.801008,42.359821
-7.8145602,42.3595912
-7.865836,42.3361134
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7868968,42.3663127
-7.790312,42.361686
-7.865836,42.3361134
-7.865836,42.3361134
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.801008,42.359821
-7.8145602,42.3595912
-7.822306,42.3507101
-7.865836,42.3361134
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.7868968,42.3663127
-7.790312,42.361686
-7.8305339,42.349198
-7.865836,42.3361134
-7.865836,42.3361134
-7.864299,42.3417115
-7.781176,42.373792
-7.801008,42.359821
-7.8145602,42.3595912
-7.8145602,42.3595912
-7.864299,42.3417115
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.790312,42.361686
-7.790312,42.361686
-7.801008,42.359821
-7.8145602,42.3595912
-7.865836,42.3361134
-7.8568456,42.3456161
-7.801008,42.359821
-7.8145602,42.3595912
-7.864299,42.3417115
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.865836,42.3361134
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.801008,42.359821
-7.801008,42.359821
-7.8233098,42.3496966
-7.8233098,42.3496966
-7.864299,42.3417115
-7.864299,42.3417115
-7.864299,42.3417115
-7.864299,42.3417115
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.865836,42.3361134
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.801008,42.359821
-7.801008,42.359821
-7.8233098,42.3496966
-7.8233098,42.3496966
-7.864299,42.3417115
-7.864299,42.3417115
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.865836,42.3361134
-7.864299,42.3417115
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.801008,42.359821
-7.801008,42.359821
-7.8233098,42.3496966
-7.864299,42.3417115
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.865836,42.3361134
-7.864299,42.3417115
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.801008,42.359821
-7.8145602,42.3595912
-7.8145602,42.3595912
-7.8233098,42.3496966
-7.8233098,42.3496966
-7.864299,42.3417115
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.865836,42.3361134
-7.864299,42.3417115
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.798024,42.368163
-7.798024,42.368163
-7.801008,42.359821
-7.801008,42.359821
-7.8145602,42.3595912
-7.864299,42.3417115
-7.864299,42.3417115
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.865836,42.3361134
-7.864299,42.3417115
-7.864299,42.3417115
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.801008,42.359821
-7.801008,42.359821
-7.8145602,42.3595912
-7.8233098,42.3496966
-7.8233098,42.3496966
-7.864299,42.3417115
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.8145602,42.3595912
-7.864299,42.3417115
-7.864299,42.3417115
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.801008,42.359821
-7.801008,42.359821
-7.8145602,42.3595912
-7.864299,42.3417115
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.865836,42.3361134
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.801008,42.359821
-7.8233098,42.3496966
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.8145602,42.3595912
-7.8343765,42.3519448
-7.865836,42.3361134
-7.865836,42.3361134
-7.865836,42.3361134
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.781176,42.373792
-7.801008,42.359821
-7.864299,42.3417115
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.7720649,42.3747549
-7.7720649,42.3747549
-7.801008,42.359821
-7.8145602,42.3595912
-7.865836,42.3361134
-7.865836,42.3361134
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.8568456,42.3456161
-7.781176,42.373792
-7.798024,42.368163
-7.798024,42.368163
-7.801008,42.359821
-7.8233098,42.3496966
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.808392,42.3955463
-7.808392,42.3955463
-7.81675,42.4156288
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.81675,42.4156288
-7.818564,42.40349
-7.808392,42.3955463
-7.833666,42.3777635
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.8008954,42.4091627
-7.833666,42.3777635
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.81675,42.4156288
-7.8008954,42.4091627
-7.808392,42.3955463
-7.808392,42.3955463
-7.7941917,42.4397819
-7.7999928,42.4097269
-7.7999928,42.4097269
-7.8063668,42.4028631
-7.808392,42.3955463
-7.808392,42.3955463
-7.7941917,42.4397819
-7.809792,42.4500051
-7.8343555,42.4446393
-7.81675,42.4156288
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.809792,42.4500051
-7.809792,42.4500051
-7.8008954,42.4091627
-7.833666,42.3777635
-7.833666,42.3777635
-7.833666,42.3777635
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.81675,42.4156288
-7.8008954,42.4091627
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.809792,42.4500051
-7.81675,42.4156288
-7.81675,42.4156288
-7.81675,42.4156288
-7.7999928,42.4097269
-7.8008954,42.4091627
-7.8063668,42.4028631
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.809792,42.4500051
-7.8304024,42.4217927
-7.81675,42.4156288
-7.7999928,42.4097269
-7.7999928,42.4097269
-7.833666,42.3777635
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.8406373,42.4312183
-7.81675,42.4156288
-7.81675,42.4156288
-7.7999928,42.4097269
-7.8063668,42.4028631
-7.809792,42.4500051
-7.81675,42.4156288
-7.81675,42.4156288
-7.81675,42.4156288
-7.81675,42.4156288
-7.7999928,42.4097269
-7.818564,42.40349
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7999928,42.4097269
-7.820329,42.381739
-7.7941917,42.4397819
-7.81675,42.4156288
-7.7999928,42.4097269
-7.833666,42.3777635
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.81675,42.4156288
-7.8008954,42.4091627
-7.808392,42.3955463
-7.833666,42.3777635
-7.8008954,42.4091627
-7.8063668,42.4028631
-7.808392,42.3955463
-7.833666,42.3777635
-7.7941917,42.4397819
-7.7941917,42.4397819
-7.81675,42.4156288
-7.81675,42.4156288
-7.8063668,42.4028631
-7.833666,42.3777635
-7.7941917,42.4397819
-7.809792,42.4500051
-7.7999928,42.4097269
-7.8008954,42.4091627
-7.81675,42.4156288
-7.81675,42.4156288
-7.818564,42.40349
-7.8741894,42.3505727
-7.8711501,42.3288104
-7.931479,42.324345
-7.950978,42.314009
-7.9461393,42.309819
-7.922765,42.2787103
-7.922765,42.2787103
-7.918868,42.300868
-7.8678398,42.3481456
-7.864299,42.3417115
-7.864299,42.3417115
-7.864299,42.3417115
-7.864299,42.3417115
-7.865836,42.3361134
-7.865506,42.3322156
-7.931479,42.324345
-7.931479,42.324345
-7.9366238,42.3119291
-7.901364,42.307678
-7.8741894,42.3505727
-7.865836,42.3361134
-7.865836,42.3361134
-7.8822573,42.3176465
-7.931479,42.324345
-7.931479,42.324345
-7.864299,42.3417115
-7.8711501,42.3288104
-7.8711501,42.3288104
-7.9461393,42.309819
-7.9461393,42.309819
-7.9501196,42.292452
-7.9501196,42.292452
-7.9501196,42.292452
-7.922765,42.2787103
-7.922765,42.2787103
-7.918868,42.300868
-7.918868,42.300868
